Date,Open,High,Low,Close,Volume
2024-06-26,126.13,128.12,122.6,126.4,355252504
2024-06-27,124.1,126.41,122.92,123.99,247638444
2024-06-28,124.58,127.71,122.75,123.54,309719295
2024-07-01,123.47,124.84,118.83,124.3,281803195
2024-07-02,121.13,123.41,121.03,122.67,214601150
2024-07-03,121.66,128.28,121.36,128.28,214557604
2024-07-05,127.38,128.85,125.68,125.83,209133020
2024-07-08,127.49,130.77,127.04,128.2,232400315
2024-07-09,130.35,133.82,128.65,131.38,283648597
2024-07-10,134.03,135.1,132.42,134.91,246936986
2024-07-11,126.4,126.4,126.4,126.4,0
2024-07-12,123.99,123.99,123.99,123.99,0
2024-07-13,123.54,123.54,123.54,123.54,0
2024-07-14,124.3,124.3,124.3,124.3,0
2024-07-15,122.67,122.67,122.67,122.67,0
2024-07-16,128.28,128.28,128.28,128.28,0
2024-07-17,125.83,125.83,125.83,125.83,0
2024-07-18,128.2,128.2,128.2,128.2,0
2024-07-19,131.69,131.69,131.69,131.69,0
2024-07-20,135.38,135.38,135.38,135.38,0
