Date,Open,High,Low,Close,Volume
2024-07-02 13:49:00,234.02,234.4,233.69,234.04,17210
2024-07-02 13:50:00,233.88,233.98,232.43,232.92,31377
2024-07-02 13:51:00,232.91,233.9,232.87,233.8,10876
2024-07-02 13:52:00,233.96,234.09,233.5,233.68,17033
2024-07-02 13:53:00,233.45,234.18,233.45,233.99,7876
2024-07-02 13:54:00,234.08,234.47,233.91,234.19,13698
2024-07-02 13:55:00,233.9,234.1,232.7,232.88,19719
2024-07-02 13:56:00,232.88,233.65,232.32,233.54,19384
2024-07-02 13:57:00,233.68,233.97,233.55,233.55,10707
2024-07-02 13:58:00,233.93,233.93,233.19,233.4,10382
2024-07-02 13:59:00,233.28,233.48,233.03,233.12,7669
2024-07-02 14:00:00,233.12,233.12,231.8,232.41,13730
2024-07-02 14:01:00,232.1,233.02,232.1,232.75,8993
2024-07-02 14:02:00,232.51,233.0,232.33,233.0,6253
2024-07-02 14:03:00,233.01,233.85,233.01,233.85,15906
2024-07-02 14:04:00,233.75,234.49,233.49,234.26,18419
2024-07-02 14:05:00,234.25,234.97,234.0,234.08,25741
2024-07-02 14:06:00,234.01,234.11,233.31,233.47,9405
2024-07-02 14:07:00,233.65,233.85,233.18,233.63,5906
2024-07-02 14:08:00,233.61,233.87,233.28,233.62,18593
2024-07-02 14:09:00,233.54,233.64,232.88,232.88,21333
2024-07-02 14:10:00,232.65,232.66,231.51,231.74,25936
2024-07-02 14:11:00,231.54,231.9,230.84,231.46,19572
2024-07-02 14:12:00,231.21,231.21,230.2,230.68,18433
2024-07-02 14:13:00,230.64,231.24,230.26,231.02,20269
2024-07-02 14:14:00,231.0,231.22,230.3,230.42,16122
2024-07-02 14:15:00,230.25,230.52,229.8,230.0,26257
2024-07-02 14:16:00,230.16,230.83,229.85,230.16,18325
2024-07-02 14:17:00,230.14,230.97,230.14,230.97,8686
2024-07-02 14:18:00,231.0,231.09,230.56,230.85,8912
2024-07-02 14:19:00,230.78,230.78,229.9,230.63,46781
2024-07-02 14:20:00,230.75,230.89,230.25,230.25,12554
2024-07-02 14:21:00,230.06,230.15,229.69,229.69,15609
2024-07-02 14:22:00,229.78,230.5,229.76,230.05,13249
2024-07-02 14:23:00,230.43,230.97,230.14,230.18,16435
2024-07-02 14:24:00,230.05,230.06,229.78,229.95,10468
2024-07-02 14:25:00,230.02,230.99,229.8,230.98,10570
2024-07-02 14:26:00,230.75,230.84,229.55,230.02,20657
2024-07-02 14:27:00,229.82,230.36,229.64,230.22,7424
2024-07-02 14:28:00,230.16,230.54,229.83,230.52,8401
2024-07-02 14:29:00,230.55,230.77,230.16,230.46,10126
2024-07-02 14:30:00,230.47,231.32,230.47,231.29,13794
2024-07-02 14:31:00,231.24,231.4,230.68,230.95,11814
2024-07-02 14:32:00,230.68,230.72,229.82,230.38,10306
2024-07-02 14:33:00,230.23,230.31,229.9,230.29,6519
2024-07-02 14:34:00,230.22,230.22,229.91,230.01,3301
2024-07-02 14:35:00,230.08,230.2,229.56,229.71,11303
2024-07-02 14:36:00,229.89,230.15,229.58,229.58,6007
2024-07-02 14:37:00,229.68,229.68,229.11,229.35,21071
2024-07-02 14:38:00,229.4,229.4,228.8,228.88,26532
2024-07-02 14:39:00,229.0,229.04,228.63,229.0,13504
2024-07-02 14:40:00,228.97,229.91,228.97,229.15,11461
2024-07-02 14:41:00,229.04,229.62,229.04,229.53,5964
2024-07-02 14:42:00,229.68,229.68,228.73,228.73,17406
2024-07-02 14:43:00,228.75,229.03,228.63,229.0,16581
2024-07-02 14:44:00,229.02,229.11,228.68,228.69,11587
2024-07-02 14:45:00,228.66,229.35,228.55,229.35,14118
2024-07-02 14:46:00,229.22,230.15,229.07,229.24,14908
2024-07-02 14:47:00,229.26,229.32,229.06,229.24,9151
2024-07-02 14:48:00,229.23,229.37,228.93,229.26,6386
2024-07-02 14:49:00,229.36,229.63,229.28,229.4,8498
2024-07-02 14:50:00,229.43,229.89,229.3,229.89,4598
2024-07-02 14:51:00,229.79,230.15,229.55,229.55,9107
