symbol,Interval,Entry_date_time,Entry_price,Exit_date_time,Exit_price,Profit,Status
AAPL,1min,2024-07-01 09:56:00-04:00,212.92,2024-07-01 10:02:00-04:00,213.38,46.0,Win
AAPL,1min,2024-07-01 10:16:00-04:00,213.59,2024-07-01 10:20:00-04:00,214.72,113.0,Win
AAPL,1min,2024-07-01 10:45:00-04:00,214.43,2024-07-01 10:50:00-04:00,215.31,88.0,Win
AAPL,1min,2024-07-01 11:10:00-04:00,214.84,2024-07-01 11:17:00-04:00,215.16,32.0,Win
AAPL,1min,2024-07-01 11:25:00-04:00,214.98,2024-07-01 11:35:00-04:00,215.12,14.0,Win
AAPL,1min,2024-07-01 12:53:00-04:00,217.16,2024-07-01 13:03:00-04:00,217.08,-8.0,Loss
AAPL,1min,2024-07-01 14:11:00-04:00,216.57,2024-07-01 14:16:00-04:00,216.68,11.0,Win
AAPL,1min,2024-07-01 14:53:00-04:00,215.79,2024-07-01 15:07:00-04:00,216.15,36.0,Win
AAPL,1min,2024-07-01 15:30:00-04:00,215.58,2024-07-01 15:36:00-04:00,215.8,22.0,Win
AAPL,1min,2024-07-02 09:36:00-04:00,216.32,2024-07-02 09:40:00-04:00,216.88,56.0,Win
AAPL,1min,2024-07-02 11:05:00-04:00,219.64,2024-07-02 11:09:00-04:00,220.24,60.0,Win
AAPL,1min,2024-07-02 11:24:00-04:00,219.62,2024-07-02 11:33:00-04:00,219.61,-1.0,Loss
AAPL,1min,2024-07-02 12:18:00-04:00,219.15,2024-07-02 12:30:00-04:00,218.97,-18.0,Loss
AAPL,1min,2024-07-02 12:34:00-04:00,219.14,2024-07-02 12:44:00-04:00,219.08,-6.0,Loss
AAPL,1min,2024-07-02 13:04:00-04:00,218.94,2024-07-02 13:09:00-04:00,219.35,41.0,Win
AAPL,1min,2024-07-02 13:27:00-04:00,219.39,2024-07-02 13:36:00-04:00,219.41,2.0,Win
AAPL,1min,2024-07-02 14:37:00-04:00,219.72,2024-07-02 14:45:00-04:00,219.94,22.0,Win
AAPL,1min,2024-07-02 15:23:00-04:00,219.73,2024-07-02 15:35:00-04:00,219.9,17.0,Win
AAPL,1min,2024-07-02 15:47:00-04:00,219.66,2024-07-02 15:55:00-04:00,220.28,62.0,Win
AAPL,1min,2024-07-03 10:33:00-04:00,219.47,2024-07-03 10:46:00-04:00,219.77,30.0,Win
AAPL,1min,2024-07-03 11:13:00-04:00,220.43,2024-07-03 11:17:00-04:00,220.64,21.0,Win
AAPL,1min,2024-07-03 11:36:00-04:00,220.18,2024-07-03 11:44:00-04:00,220.37,19.0,Win
AAPL,1min,2024-07-03 11:55:00-04:00,220.05,2024-07-03 12:00:00-04:00,220.43,38.0,Win
AAPL,1min,2024-07-05 10:57:00-04:00,224.32,2024-07-05 11:04:00-04:00,224.49,17.0,Win
AAPL,1min,2024-07-05 12:26:00-04:00,225.15,2024-07-05 12:33:00-04:00,225.19,4.0,Win
AAPL,1min,2024-07-05 12:43:00-04:00,224.94,2024-07-05 12:51:00-04:00,225.04,10.0,Win
AAPL,1min,2024-07-05 14:08:00-04:00,225.24,2024-07-05 14:14:00-04:00,225.39,15.0,Win
AAPL,1min,2024-07-05 14:45:00-04:00,225.22,2024-07-05 14:54:00-04:00,225.29,7.0,Win
AAPL,1min,2024-07-05 15:23:00-04:00,225.26,2024-07-05 15:28:00-04:00,225.44,18.0,Win
