symbol,Interval,Entry_date_time,Entry_price,Exit_date_time,Exit_price,Profit,Status
AAPL,1min,2024-07-01 10:10:00-04:00,213.5,2024-07-01 10:15:00-04:00,213.05,45.0,Win
AAPL,1min,2024-07-01 10:32:00-04:00,214.94,2024-07-01 10:38:00-04:00,214.3,64.0,Win
AAPL,1min,2024-07-01 11:03:00-04:00,215.27,2024-07-01 11:09:00-04:00,214.74,53.0,Win
AAPL,1min,2024-07-01 11:18:00-04:00,215.09,2024-07-01 11:24:00-04:00,214.7,39.0,Win
AAPL,1min,2024-07-01 12:47:00-04:00,217.14,2024-07-01 12:53:00-04:00,217.16,-2.0,Loss
AAPL,1min,2024-07-01 13:23:00-04:00,217.34,2024-07-01 13:33:00-04:00,216.96,38.0,Win
AAPL,1min,2024-07-01 14:21:00-04:00,216.56,2024-07-01 14:26:00-04:00,216.19,37.0,Win
AAPL,1min,2024-07-01 15:17:00-04:00,215.94,2024-07-01 15:21:00-04:00,215.56,38.0,Win
AAPL,1min,2024-07-02 09:30:00-04:00,215.93,2024-07-02 09:34:00-04:00,215.58,35.0,Win
AAPL,1min,2024-07-02 11:01:00-04:00,219.54,2024-07-02 11:06:00-04:00,219.69,-15.0,Loss
AAPL,1min,2024-07-02 11:14:00-04:00,219.9,2024-07-02 11:22:00-04:00,219.37,53.0,Win
AAPL,1min,2024-07-02 11:47:00-04:00,219.9,2024-07-02 11:54:00-04:00,219.59,31.0,Win
AAPL,1min,2024-07-02 12:30:00-04:00,218.97,2024-07-02 12:34:00-04:00,219.14,-17.0,Loss
AAPL,1min,2024-07-02 12:44:00-04:00,219.08,2024-07-02 12:51:00-04:00,219.17,-9.0,Loss
AAPL,1min,2024-07-02 13:24:00-04:00,219.26,2024-07-02 13:28:00-04:00,219.38,-12.0,Loss
AAPL,1min,2024-07-02 14:30:00-04:00,219.84,2024-07-02 14:34:00-04:00,219.64,20.0,Win
AAPL,1min,2024-07-02 14:54:00-04:00,219.99,2024-07-02 14:58:00-04:00,219.89,10.0,Win
AAPL,1min,2024-07-02 15:37:00-04:00,219.77,2024-07-02 15:44:00-04:00,219.71,6.0,Win
AAPL,1min,2024-07-03 10:04:00-04:00,221.12,2024-07-03 10:12:00-04:00,219.85,127.0,Win
AAPL,1min,2024-07-03 11:07:00-04:00,220.36,2024-07-03 11:12:00-04:00,220.19,17.0,Win
AAPL,1min,2024-07-03 11:21:00-04:00,220.35,2024-07-03 11:26:00-04:00,220.49,-14.0,Loss
AAPL,1min,2024-07-03 11:45:00-04:00,220.2,2024-07-03 11:51:00-04:00,219.9,30.0,Win
AAPL,1min,2024-07-05 10:30:00-04:00,224.96,2024-07-05 10:37:00-04:00,224.57,39.0,Win
AAPL,1min,2024-07-05 12:16:00-04:00,225.3,2024-07-05 12:22:00-04:00,225.06,24.0,Win
AAPL,1min,2024-07-05 12:34:00-04:00,225.14,2024-07-05 12:39:00-04:00,224.93,21.0,Win
AAPL,1min,2024-07-05 13:56:00-04:00,225.3,2024-07-05 14:00:00-04:00,225.16,14.0,Win
AAPL,1min,2024-07-05 14:21:00-04:00,225.39,2024-07-05 14:27:00-04:00,225.33,6.0,Win
AAPL,1min,2024-07-05 15:07:00-04:00,225.36,2024-07-05 15:19:00-04:00,225.34,2.0,Win
